# Definitions for attributes:
# - internal name: used as
#   a) for GC caches this is the ID with which it is found in c:geo
#   b) name of string, prefixed with "attribute_"
#   c) name of icon, prefixed with "attribute_"
# - gcid: id used in groundspeak GPX files
# - ocid: opencaching.de id
# - acode: opencaching okapi a-code
# - man: graphic is selfmade or overhauled
# - license: type of license
# - copyright holder: Name of person
# - URL: icon is based on graphic downloadable here
#
# No blank lines! Use # for comments
# No reordering! This will mess up the scripts checking for missing localized strings
#
# internal name   | gcid | ocid | acode | man | license  | copyright holder                      | URL
parking           |  25  |  18  |    33 |     | PD       | Roger Cook, Don Shanosky              | http://thenounproject.com/noun/parking/#icon-No27
public            |  26  |  19  |    34 |     | PD       | Roger Cook, Don Shanosky              | http://thenounproject.com/noun/bus/#icon-No97
water             |  27  |  20  |    35 |     | PD       | USA National Park Service             | http://thenounproject.com/noun/drinking-water/#icon-No214
restrooms         |  28  |  21  |    36 |     | PD       | Roger Cook, Don Shanosky              | http://thenounproject.com/noun/unisex/#icon-No50
phone             |  29  |  22  |    37 |     | PD       |                                       | http://thenounproject.com/noun/telephone/#icon-No127
picnic            |  30  |      |       |     | PD       | USA National Park Service             | http://thenounproject.com/noun/picnic-table/#icon-No208
camping           |  31  |      |       |     | PD       | USA National Park Service             | http://thenounproject.com/noun/campground/#icon-No209
stroller          |  41  |      |       |     | PD       | USA National Park Service             | http://thenounproject.com/noun/stroller/#icon-No161
fuel              |  58  |      |       |     | PD       |                                       | http://thenounproject.com/noun/gas/#icon-No155
food              |  59  |      |       |     | PD       | Roger Cook, Don Shanosky              | http://thenounproject.com/noun/restaurant/#icon-No33
oc_only           |      |   6  |     1 |  x  | PD       | koem                                  | selfmade
link_only         |      |   7  |       |  x  | PD       | koem                                  | selfmade
letterbox         |      |   8  |     4 |     | CC0      |                                       | http://thenounproject.com/noun/post-office/#icon-No2404
railway           |      |  10  |    60 |     | CC0      |                                       | http://thenounproject.com/noun/train/#icon-No4420
syringe           |      |  23  |    38 |     | CC0      | Betovarg Jabib                        | http://thenounproject.com/noun/syringe/#icon-No1508
swamp             |      |  26  |    22 |  x  | CC0      | Megan Strickland                      | http://thenounproject.com/noun/hand/#icon-No1477
hills             |      |  27  |    23 |  x  | PD       | koem                                  | selfmade
easy_climbing     |      |  28  |    24 |  x  | PD       | USA National Park Service             | http://thenounproject.com/noun/climbing/#icon-No526
poi               |      |  30  |    30 |     | PD       |                                       | http://thenounproject.com/noun/point-of-interest/#icon-No522
moving_target     |      |  31  |    11 |  x  | PD       |                                       | http://thenounproject.com/noun/running/#icon-No246
webcam            |      |  32  |    12 |     | PD       |                                       | http://thenounproject.com/noun/video-camera/#icon-No637
inside            |      |  33  |    31 |  x  | PD       | koem                                  | selfmade
in_water          |      |  34  |    32 |  x  | PD       | koem                                  | selfmade
no_gps            |      |  35  |    58 |  x  | PD       | koem                                  | selfmade
overnight         |      |  37  |    69 |  x  | PD       | koem                                  | selfmade
specific_times    |      |  39  |    40 |  x  | CC0      | The Noun Project                      | http://thenounproject.com/noun/clock/#icon-No2306
day               |      |  40  |    41 |  x  | PD       |                                       | http://thenounproject.com/noun/sun/#icon-No76
tide              |      |  41  |    48 |     | CC0      | United Nations UCHA                   | http://thenounproject.com/noun/storm-surge/#icon-No4248
all_seasons       |      |  42  |    44 |  x  | PD       | koem                                  | selfmade
breeding          |      |  43  |    46 |  x  | PD       | koem                                  | selfmade
snow_proof        |      |  44  |    47 |  x  | PD       | USA National Park Service             | http://thenounproject.com/noun/snow/#icon-No64
compass           |      |  47  |    49 |  x  | CC0      | James Keuning                         | http://thenounproject.com/noun/compass/#icon-No9699
cave              |      |  50  |    54 |     | PD       |                                       | http://thenounproject.com/noun/cave/#icon-No3827
aircraft          |      |  53  |    75 |     | CC0      | United Nations UCHA                   | http://thenounproject.com/noun/helicopter/#icon-No4415
investigation     |      |  54  |    14 |  x  | CC0      | Timur Carpeev                         | http://thenounproject.com/noun/magnifying-glass/#icon-No5386
